#Comment,Designator,Footprint,Part#
APX803S-29SA-7,U6,APX803S-240-290,C143831
AVR128DB32,U1,AVR128DB32,------
AW2005-WV04,CN4,AW2005-WV04,AW2005-WV04
CC0603KRX7R9BB104,C1 C3 C4 C5 C6 C8 C9 C11 C14 C15 C16 C17 C18,C0603_104,C14663
0603B472K500NT,C19,C0603_472,C53987
CL10A475KO8NNNC,C12 C13,C0603_475,C19666
CL21A476MQYNNNE,C2 C7 C10,C0805_476,C16780
CH340E,U2,CH340E,C99652
CUS10S30,D1 D2 D3 D4 D5 D6,CUS10S30,C146335
DW01,U5,DW01,C181096
1210L110THYR,F1 F2,F1210_110,C207047
Q13FC1350000200,X1,FC-135,C48615
FH-1X6SH,CN8,FH-1X06SH,---
FH-1X8SH,CN6 CN9,FH-1X08SH,---
FH-1X10SH,CN7,FH-1X10SH,---
FS8205A,Q3,FS8205A,C908265
IRLML6402,Q1,IRLML6402,C518785
JPJT-X2-CLOSE,JP6,JPJT-X2-CLOSE,
JPJT-X3-CLOSE-OPEN,JP7,JPJT-X3-CLOSE-OPEN,
JPJT-X3-OPEN-CLOSE,JP1 JP2 JP3 JP4 JP5 JP8,JPJT-X3-OPEN-CLOSE,
JST-PH-2S,CN2,JST-PH-2S,JST-PH-2S
K3-1310S-E1,SW1,K3-1310S-E1,C145851
Keystone54,V1 V2,Keystone54,
MLP1608V1R0BT0S1,L2,L0603_1R0,C383366
LQM2HPN4R7MG0L,L1,L1008_4R7,C82314
MCP73831T-2ACI/OT,U7,MCP73831T,C424093
PCF85063ATL,U3,PCF85063ATL,C404360
PH-2X3SG,CN3,PH-2X03SG,---
0603WAF1001T5E,R9 R15,R0603_102,C21190
0603WAF1003T5E,R4 R6,R0603_104,C25803
0603WAF1004T5E,R10,R0603_105,C22935
0603WAF3300T5E,R1 R7 R8 R13 R18 R19,R0603_331,C23138
0603WAF3301T5E,R5,R0603_332,C22978
0603WAF3902T5E,R2,R0603_393,C23153
0603WAF4700T5E,R14 R16 R17,R0603_471,C23179
0603WAF5101T5E,R3 R11 R12,R0603_512,C23186
SDB628,U4,SDB628,C77805
SPX3819M5-L-3-3/TR,U8,SPX3819M5-L-3-3/TR,C9055
TP127-X4,TP2,TP127-X4,
TP127-X6,TP1 TP3,TP127-X6,
TS-1186U-B-A,SW2 SW3,TS-1186U-B-A,C571343
DX07S016JA1,CN1,USB-C-SMD_JAE,---
USBLC6-2SC6,Q2,USBLC6-2SC6,C558442
WL-SBRW-RB,E2,WL-SBRW-RB,WL-SBRW-RB
WL-SBRW-YG,E1,WL-SBRW-YG,WL-SBRW-YG
tmp220222084204,CN5,tmp220222084204,
