#Designator,Mid X mm,Mid Y mm,Layer,Rotation
C1,140.375,74,T,0
C2,138.5,76.75,T,90
C3,150.75,80.5,T,315
C4,153.25,78,T,315
C5,163,73.5,T,315
C6,155.25,88,T,315
C7,147.5,93.5,T,90
C8,140.5,97,T,90
C9,140.5,101,T,90
C10,137.5,103.5,T,0
C11,142.5,105,T,0
C12,139.375,110.125,T,90
C13,139.375,113.875,T,90
C14,145.5,114,T,90
C15,151.75,107.5,T,90
C16,157.25,107.5,T,90
C17,161.25,107.5,T,90
C18,164.5,112.5,T,90
C19,155,120.25,T,90
CN1,150,141.5,T,180
CN2,138.875,119.5,T,90
CN3,151.27,71.98,T,180
CN4,135,68,T,180
CN6,174.13,82.14,T,90
CN7,174.13,106.524,T,90
CN8,125.87,79.6,T,270
CN9,125.87,99.92,T,270
D1,147.5,97.5,T,180
D2,134.5,100.375,T,90
D3,139.5,80,T,0
D4,143,114,T,90
D5,154,96.5,T,270
D6,156,96.5,T,90
E1,141.5,143,T,0
E2,158.5,143,T,180
F1,144,120.5,T,90
F2,164.5,123.5,T,0
JP1,148.73,108.81,T,90
JP2,138.57,91.03,T,90
JP3,141.11,91.03,T,90
JP4,158.89,103.73,T,0
JP5,158.89,101.19,T,0
JP6,144.92,80.87,T,0
JP7,146.19,78.33,T,0
JP8,133.49,88.49,T,90
L1,143.5,101,T,90
L2,152.5,82.25,T,315
Q1,145,109.75,T,90
Q2,150,120,T,90
Q3,160,121,T,90
R1,136,77.875,T,90
R2,151,93.125,T,90
R3,151,96.625,T,90
R4,151,101,T,90
R5,132.875,115,T,90
R6,141.375,108.625,T,90
R7,159.25,107.5,T,90
R8,162.5,112.5,T,90
R9,157,117.125,T,90
R10,157,120.25,T,90
R11,153,120.25,T,90
R12,147,120.25,T,90
R13,138.5,138.75,T,90
R14,140.5,138.75,T,90
R15,142.5,138.75,T,90
R16,157.5,138.75,T,90
R17,159.5,138.75,T,90
R18,161.5,138.75,T,90
R19,157,114,T,90
SW1,126.5,118,T,0
SW2,134.5,141.75,T,180
SW3,165.5,141.75,T,180
U1,160,81,T,135
U2,153.75,113,T,180
U3,144.5,72,T,0
U4,147.5,101,T,270
U5,160,116.5,T,90
U6,159,111.5,T,270
U7,136,112,T,270
U8,137.5,99.5,T,270
V1,127.005,132,T,180
V2,172.995,132,T,0
X1,143.5,68,T,0
CN5,133.49,73.25,B,0
