#Designator,Mid X mm,Mid Y mm,Layer,Rotation
C1,149.5,121.5,T,90
C2,154,124.5,T,90
C3,138,104,T,0
C4,136,113,T,90
C5,143,116.5,T,0
C6,147,119,T,0
C7,162,121.75,T,0
C8,162,119.5,T,0
C9,140.5,129.5,T,90
C10,140.5,122,T,90
C11,137.5,129.5,T,90
C12,143,136,T,0
CN1,150,84.045,T,180
CN2,150,92.3,T,0
CN3,150,133,T,180
CN4,150,102.46,T,90
CN5,157.62,102.46,T,90
CN6,142.38,102.46,T,270
D1,138,106,T,0
D2,139,116.5,T,0
D3,143,119,T,0
D4,147,116.5,T,0
D5,137.5,122,T,90
D6,152.625,121.5,T,90
D7,155.375,121.5,T,270
D8,158.5,131,T,90
E1,138,91,T,180
E2,162,127.5,T,0
E3,162,91,T,0
F1,145.5,126,T,90
JP1,137.3,97.38,T,270
Q1,141.5,108,T,90
Q2,145,113,T,0
Q3,141.5,113,T,90
Q4,162,102.5,T,180
R1,138,88.5,T,0
R2,162,79.5,T,0
R3,138,79.5,T,0
R4,138,110,T,0
R5,141.5,110,T,0
R6,138,108,T,0
R7,162,105,T,0
R8,138.5,113,T,90
R9,148,113,T,90
R10,149,127,T,90
R11,151,127,T,90
R12,162,130,T,0
R13,162,88.5,T,0
R14,143,133,T,0
SW1,162,84,T,90
SW2,138,84,T,270
U1,154,114,T,270
U2,158.5,124,T,180
U4,139,126,T,0
Z1,141.5,96.5,T,180
