#Comment,Designator,Footprint,Part#
ATtiny824,U1,ATtiny824,-----
BH-06RG,CN1,BH-06RG,BH-06RG
BSS138PW	115,Q1 Q2 Q4,BSS138PW,C193366
CC0603KRX7R9BB104,C1 C2 C3 C4 C5 C6 C7 C8 C9 C11,C0603_104,C14663
CL10A226MQ8NRNC,C10,C0603_226,C59461
0603B472K500NT,C12,C0603_472,C53987
CH340E,U3,CH340E,C99652
CUS10S30,D1 D2 D3 D4 D5 D6 D7 D8,CUS10S30,C146335
DSHP04TS-S,SW3,DSHP04TS-S,C319050
ASMD1210-035,F1,F1210_035,C135347
JPJT-X3-CLOSE-OPEN,JP1,JPJT-X3-CLOSE-OPEN,
LBSS84WT1G,Q3,LBSS84WT1G,C383208
OSB50805C1C,E3,LED0805_B,C98222
OSY50805C1C,E1,LED0805_Y,C125091
OSG80805C1C,E2,LED0805_YG,C98221
MMSZ12VCW,Z1,MMSZ12VCW,C248761
MMSZ9V1T1G,Z2,MMSZ9V1T1G,C132795
PS-06MC01,CN2,PS-06MC01,---
0603WAF1001T5E,R12,R0603_102,C21190
0603WAF1002T5E,R8 R9 R13 R14,R0603_103,C25804
0603WAF1003T5E,R5 R6,R0603_104,C25803
0603WAF1004T5E,R16,R0603_105,C22935
0603WAF2201T5E,R1 R17,R0603_222,C4190
0603WAF3300T5E,R2 R3 R4 R7 R15,R0603_331,C23138
0603WAF5101T5E,R10 R11,R0603_512,C23186
SKRPABE010,SW1 SW2,SKRPABE010,C139797
SPX3819M5-L-3-3/TR,U4,SPX3819M5-L-3-3/TR,C9055
TP127-X6,TP1 TP2,TP127-X6,
U74LVC1G125G-AL5-R,U2,U74LVC1G125G,C171458
5077CR,CN3,USB-C-SMD_12P,C165948
USBLC6-2SC6,D9,USBLC6-2SC6,C558442
