#Designator,Mid X mm,Mid Y mm,Layer,Rotation
C1,142.5,134,T,0
C2,155.5,119,T,90
C3,156,122,T,0
C4,144,128,T,90
C5,140.5,131.5,T,0
C6,137,128,T,90
C7,143,116,T,90
C8,143,120,T,270
C9,137,120,T,270
C10,145.25,116,T,90
C11,147.25,116,T,90
C12,158.5,103.75,T,0
C13,162.5,97.5,T,0
CN3,150,134,T,180
D1,158,132,T,90
D2,146.5,103.75,T,270
D3,160.5,126,T,0
D4,140,120,T,90
E1,162,130,T,270
F1,150,127.625,T,90
Q1,140,109,T,0
Q2,140,105.5,T,180
Q3,146.5,107.25,T,0
Q4,146.5,100.25,T,0
Q5,158.75,85.75,T,0
Q6,140,116,T,0
Q7,140,112.5,T,180
R1,152.4,129,T,0
R2,147.6,129,T,0
R3,142.5,136,T,0
R4,163.5,127.5,T,0
R5,137,109,T,90
R6,137,105.5,T,90
R7,142.25,103.75,T,0
R8,142.25,107.25,T,0
R9,144,105.5,T,0
R10,144,102,T,0
R11,149,105.5,T,0
R12,149,102,T,0
R13,155.5,109.25,T,0
R14,155.5,102,T,0
R15,159.5,97.5,T,0
R16,163.5,125.5,T,0
R17,156,116,T,0
R18,137,116,T,90
R19,137,112.5,T,90
R20,158.5,105.5,T,0
R21,158.5,102,T,0
SW1,161,92,T,90
SW2,150,92,T,0
SW3,160.5,119,T,0
U1,150,114,T,225
U2,156.5,126,T,180
U3,140.5,128,T,90
U4,155.5,105.5,T,180
Z1,156,83,T,270
Z2,144,83,T,270
